attempts,comments,lloc,system_access,exam_grade,events,tests,exercises_list_grade,copy_paste,syntax_error,IDE_usage,error_quotient,conditions,vars,final_grade
87.0,76,129,42,10.0,331.67,0.0,6.67,2.23,0.11,76.87,0.0,0.0,2.89,2.59
14.0,7,34,9,0.0,177.78,0.0,2.71,0.09,0.14,19.58,0.0,0.0,0.0,0.01
39.0,73,108,10,10.0,363.53,0.0,6.67,0.8,0.05,102.92,0.0,0.37,2.89,0.0
53.0,65,102,35,10.0,359.65,0.0,6.67,0.45,0.3,96.61,2.89,0.42,2.95,8.31
30.0,9,80,27,5.0,686.87,0.0,5.33,0.01,0.07,86.99,0.0,0.0,2.19,8.39
39.0,57,100,56,10.0,402.32,0.0,6.67,0.18,0.46,114.08,4.33,0.0,2.79,8.67
44.0,17,115,40,10.0,390.39,0.0,6.67,0.34,0.02,92.35,-1.0,0.0,3.11,7.93
32.0,44,94,81,10.0,374.78,0.0,6.67,1.86,0.19,99.47,0.0,0.0,1.83,6.65
48.0,3,60,19,10.0,406.85,0.0,3.38,0.03,0.35,98.2,1.0,0.0,1.31,5.39
38.0,60,96,53,10.0,301.76,0.0,6.67,2.85,0.08,113.78,0.0,0.37,2.56,3.91
8.0,3,24,2,0.0,145.5,0.0,3.33,0.0,0.0,20.92,-1.0,0.0,0.0,0.11
45.0,11,101,29,5.0,463.94,0.0,6.19,1.0,0.44,133.42,2.0,0.0,3.11,6.73
50.0,0,103,46,10.0,182.33,0.0,6.33,0.5,0.22,60.85,0.65,0.0,3.0,6.19
59.0,29,101,57,10.0,300.71,0.0,6.67,2.5,0.19,147.63,0.76,0.0,2.84,5.4
45.0,26,104,67,0.0,270.33,0.0,6.67,0.13,0.16,61.9,0.0,0.0,2.89,3.28
53.0,5,104,47,10.0,341.28,0.0,6.67,0.83,0.34,159.1,3.61,0.0,2.72,9.0
87.0,57,104,44,10.0,392.59,0.0,6.67,1.44,0.39,144.12,5.67,0.0,2.72,7.95
51.0,24,88,29,0.0,228.71,0.0,4.29,0.3,0.35,81.55,5.2,0.0,3.06,1.59
63.0,51,104,80,10.0,483.17,0.0,6.67,0.11,0.08,150.66,0.0,0.0,3.32,6.44
72.0,61,107,28,10.0,432.72,0.0,6.67,0.62,0.1,124.89,1.17,0.37,3.16,5.01
27.0,7,74,40,5.0,487.25,0.0,3.57,0.03,0.3,69.09,1.18,0.0,3.0,7.61
24.0,23,74,16,0.0,444.21,0.0,4.52,0.38,0.29,82.94,1.86,0.0,2.33,1.14
103.0,35,98,48,5.0,356.76,0.0,6.67,0.72,0.53,137.44,4.18,0.0,2.67,5.01
33.0,55,108,76,10.0,425.89,0.0,6.67,0.05,0.24,156.39,0.0,0.0,2.67,10.0
22.0,32,65,21,10.0,547.0,0.0,3.24,0.39,0.5,74.08,0.0,0.0,2.5,3.92
71.0,10,110,43,10.0,315.61,0.0,6.67,0.01,0.35,111.45,4.5,0.0,2.84,6.05
49.0,30,112,61,10.0,1022.83,0.0,6.67,0.24,0.08,268.61,0.0,0.0,3.17,8.83
73.0,21,101,67,10.0,250.33,0.0,6.67,0.62,0.33,105.29,2.76,0.0,2.5,10.0
58.0,18,107,53,10.0,458.39,0.0,6.67,0.0,0.31,161.45,1.44,0.0,2.72,8.07
107.0,19,106,40,10.0,582.28,0.0,6.67,0.25,0.08,218.36,0.0,0.0,3.11,10.0
55.0,27,93,19,0.0,454.65,0.0,5.71,0.63,0.38,84.38,2.65,0.0,2.76,0.33
48.0,23,99,15,0.0,378.62,0.0,6.67,0.21,0.48,174.79,5.71,0.0,2.94,0.0
20.0,0,100,46,0.0,228.67,0.0,6.67,0.11,0.05,42.14,-1.0,0.0,2.84,5.17
77.0,35,105,50,5.0,623.22,0.0,6.67,0.18,0.26,124.26,6.83,0.0,2.78,6.82
37.0,25,101,38,0.0,459.94,0.0,6.67,0.85,0.22,119.61,0.0,0.0,2.74,5.47
16.0,0,23,1,0.0,95.8,0.0,2.38,-1.0,0.12,31.36,-1.0,0.0,0.0,6.35
21.0,31,103,48,10.0,310.28,0.0,6.67,0.19,0.0,90.29,-1.0,0.0,2.95,6.87
25.0,27,100,40,5.0,442.58,0.17,6.67,5.96,0.16,117.84,0.72,0.0,2.68,5.32
